ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
1412,Como cadastrar um usuário - Clipp Fácil,ClippFácil,Publicado,ClippFácil,
1425,Emitindo NFC-e pelo ClippFácil,ClippFácil,Publicado,ClippFácil,
1427,Cadastro de Grupos e Unidades de Medida - ClippFácil/360,ClippFácil,Publicado,ClippFácil,
1428,Cadastros no Financeiro - ClippFácil,ClippFácil,Publicado,ClippFácil,
1429,Primeiro acesso ao ClippFácil,ClippFácil,Publicado,ClippFácil,
1430,Movimentações Financeiras - ClippFácil,ClippFácil,Publicado,ClippFácil,
1433,Cadastro de Fornecedores - ClippFácil,ClippFácil,Publicado,ClippFácil,
1438,Manual Online - ClippFácil,ClippFácil,Publicado,ClippFácil,
1440,Lançando nota de Compra no ClippFácil,ClippFácil,Publicado,ClippFácil,
1495,Cadastro de Produtor Rural - ClippFácil,Nota Fiscal Eletrônica - NFe,Publicado,ClippFácil,
1515,Erro de SSL,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,ClippFácil,
1520,Liberar acesso completo à pasta do Integrador,Diversos,Publicado,ClippFácil,
1597,Configurando o SAT - ClippFácil,Sistema Autenticador e Transmissor – SAT,Publicado,ClippFácil,
1598,Configurando o SAT - ClippFácil,Sistema Autenticador e Transmissor – SAT,Publicado,ClippFácil,
